image_path,architectural_style
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005581.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002901.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Romanesque architecture\012935.jpg,Romanesque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\001966.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011124.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003905.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001398.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007523.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005330.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007569.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004040.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006355.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012499.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007935.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000259.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008826.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014121.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010632.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009793.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\011791.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003221.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012439.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001100.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\009893.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001401.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014253.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Romanesque architecture\013080.jpg,Romanesque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001298.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014142.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004041.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002112.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000241.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014187.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010257.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000345.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009627.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007787.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007986.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006619.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012612.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004573.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005862.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006226.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001656.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003425.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007851.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008697.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014467.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008764.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006664.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001156.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009660.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\011856.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003676.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010385.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\011865.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001483.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009338.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003900.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003763.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008460.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010476.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010834.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006579.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010746.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010258.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010668.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008575.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001226.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009354.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Romanesque architecture\012810.jpg,Romanesque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002767.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002608.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002615.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000222.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006809.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000670.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013675.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010949.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011615.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001372.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008659.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000765.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013598.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007492.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\011675.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005428.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008161.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008058.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005078.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002211.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000119.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005791.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006618.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002816.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014369.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003977.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012788.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004019.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013518.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013731.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009486.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004660.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\005029.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005360.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000376.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004647.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003412.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\011926.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008756.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003730.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002808.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008126.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000585.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001159.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014097.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004099.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010905.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\009896.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013638.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001073.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006292.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012427.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001020.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013905.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008149.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000094.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001002.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010523.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002269.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004676.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005352.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014259.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012420.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Romanesque architecture\012828.jpg,Romanesque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003876.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008140.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000056.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000699.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011052.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000090.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010959.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000079.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008834.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008398.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000904.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010603.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011403.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003260.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004163.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002120.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\004323.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014268.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004442.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Deconstructivism\007119.jpg,Deconstructivism
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000008.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014655.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005239.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001550.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Deconstructivism\007029.jpg,Deconstructivism
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003790.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003367.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008111.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006547.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006297.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005772.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007547.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011071.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003670.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005626.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003476.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008202.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004957.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008846.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003440.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014150.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011345.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012234.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006649.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014269.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005740.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011543.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005348.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013676.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004568.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000295.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011084.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001109.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014398.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010017.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006483.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Nouveau architecture\002722.jpg,Art Nouveau architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002043.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\009050.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003974.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002303.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001039.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004426.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006336.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Romanesque architecture\013001.jpg,Romanesque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012699.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013492.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005267.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Deconstructivism\006955.jpg,Deconstructivism
C:\Users\shand\Downloads\archive\g-images-dataset\Novelty architecture\010609.jpg,Novelty architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010027.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014162.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001934.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000381.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001474.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005680.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014647.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005055.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004850.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013751.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\009212.jpg,Gothic architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Greek Revival architecture\009411.jpg,Greek Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002121.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013798.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012668.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007680.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001035.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004558.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005123.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002233.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000023.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006244.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\001983.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010167.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006854.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007779.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001491.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Gothic architecture\008757.jpg,Gothic architecture
