image_path,architectural_style
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000094.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000095.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000096.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000097.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000098.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000099.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000103.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000104.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000105.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000106.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000107.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000108.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000110.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000111.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000112.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000113.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000114.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000115.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000117.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000118.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000119.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000120.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000121.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000123.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000125.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000126.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000127.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000128.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000129.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000130.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000131.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000132.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000134.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000135.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000138.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000139.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000142.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000143.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000144.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000145.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000146.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000147.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000148.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000149.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000150.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000151.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000152.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000153.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000154.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000155.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000156.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000158.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000159.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000161.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000162.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000167.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000168.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000169.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000170.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000171.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000172.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000173.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000175.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000176.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000177.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000178.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000179.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000180.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000181.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000184.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000186.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000187.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000189.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000191.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000192.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000193.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000194.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000197.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000199.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000200.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000201.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000203.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000204.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000209.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000210.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000211.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000212.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000215.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000216.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000218.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000221.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000222.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000223.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000224.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000225.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000226.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000227.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000228.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000230.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000231.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000232.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000233.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000235.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000236.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000238.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000240.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000241.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000242.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000243.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000244.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000245.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000247.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000249.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000250.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000251.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000252.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000253.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000254.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000255.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000257.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000258.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000259.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000260.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000262.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000265.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000266.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000268.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000269.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000270.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000272.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000273.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000274.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000277.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000278.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000282.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000284.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000287.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000289.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000290.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000291.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000292.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000293.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000295.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000298.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000300.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000301.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000303.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000304.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000305.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000306.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000307.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000308.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000309.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000315.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000316.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000320.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000322.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000323.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000327.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000328.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000329.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000330.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000331.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000332.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000334.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000335.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000336.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000337.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000342.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000343.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000344.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000345.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000346.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000347.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000349.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000352.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000353.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000355.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000358.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000359.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000362.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000363.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000364.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000365.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000366.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000367.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000368.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000369.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000370.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000373.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000374.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000375.jpg,Achaemenid architecture
